first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,state,age
Jenelle,Mc-Kerley,Female,40,1942-01-23,Financial Services,Mass Customer,Yes,QLD,78.0
Gabrila,Toopin,Female,7,1963-01-14,Manufacturing,Mass Customer,No,NSW,57.0
Almira,Mangion,Female,4,1996-01-24,Financial Services,Affluent Customer,Yes,NSW,24.0
Arty,Strudwick,Male,85,1964-01-31,Health,Mass Customer,Yes,NSW,56.0
Alexa,Dillet,Female,65,1944-10-05,Entertainment,Affluent Customer,No,NSW,75.0
Palmer,Heaven,Male,82,1995-05-18,Financial Services,Affluent Customer,Yes,VIC,25.0
Porter,Buckenhill,Male,46,1954-06-14,Manufacturing,High Net Worth,Yes,QLD,66.0
Kizzee,Kemston,Female,11,1961-09-29,Health,Mass Customer,No,NSW,58.0
Giffie,Offill,Male,51,1993-03-02,Telecommunications,Affluent Customer,No,QLD,27.0
Tamar,Windmill,Female,92,1939-08-28,Manufacturing,Affluent Customer,No,NSW,81.0
Kipp,Stockport,Male,36,1982-12-10,Retail,Mass Customer,Yes,NSW,37.0
Packston,Wackett,Male,10,1950-04-26,Financial Services,Mass Customer,No,VIC,70.0
Hanson,Eastes,Male,74,1990-05-20,Manufacturing,Mass Customer,Yes,VIC,30.0
Demetria,Bausor,Female,73,1961-12-22,Entertainment,Mass Customer,Yes,NSW,58.0
Lura,Fawdrie,Female,66,2002-01-17,Health,Mass Customer,Yes,QLD,18.0
Nora,Anselm,Female,84,1961-01-05,Entertainment,High Net Worth,Yes,QLD,59.0
Estevan,Eastment,Male,54,1942-08-09,Health,Mass Customer,Yes,NSW,78.0
Aloysius,Glowacz,Male,72,1979-03-24,Financial Services,Affluent Customer,No,NSW,41.0
Bastien,Ibbeson,Male,53,1976-11-04,IT,Mass Customer,No,NSW,43.0
Otha,Langworthy,Female,91,1967-01-20,Financial Services,Mass Customer,Yes,VIC,53.0
Dwayne,Doel,Male,80,1978-01-21,Financial Services,Affluent Customer,Yes,NSW,42.0
Leese,Huckleby,Female,67,1977-09-10,Manufacturing,High Net Worth,Yes,VIC,43.0
Dodi,Kiggel,Female,5,1980-08-15,Financial Services,Mass Customer,Yes,NSW,40.0
Kippar,Brimilcome,Male,21,1938-11-29,Health,Mass Customer,No,NSW,81.0
Corinna,Beretta,Female,24,1996-02-29,Health,High Net Worth,No,VIC,24.0
Laurie,Odlin,Female,75,1983-03-08,Health,High Net Worth,No,VIC,37.0
Tanner,Terlinden,Male,84,1995-12-09,Manufacturing,Mass Customer,No,VIC,24.0
Hilliard,Dullard,Male,65,1954-07-18,Manufacturing,Mass Customer,No,NSW,66.0
Justinn,Haruard,Female,48,1958-08-28,Health,High Net Worth,No,NSW,62.0
Wyn,Meach,Male,37,1938-09-10,Manufacturing,Mass Customer,No,NSW,82.0
Art,Shardlow,Male,57,1963-10-15,Argiculture,Mass Customer,Yes,QLD,56.0
Dennis,Varnham,Male,57,1953-05-17,Entertainment,Affluent Customer,No,VIC,67.0
Freddi,Litherborough,Female,46,1989-01-14,Financial Services,Mass Customer,No,NSW,31.0
Salomon,Perkins,Male,76,1998-01-12,Financial Services,Affluent Customer,Yes,NSW,22.0
Sherill,Perkins,Female,33,1991-12-18,Financial Services,Mass Customer,No,NSW,28.0
Queenie,Learie,Female,90,1948-01-24,Property,Mass Customer,No,NSW,72.0
Etan,Prinett,Male,97,1970-01-21,Argiculture,Mass Customer,Yes,NSW,50.0
Donaugh,Benedict,Male,3,1991-12-01,Property,Mass Customer,No,NSW,28.0
Harwell,Kleinstein,Male,87,1993-10-18,Retail,Affluent Customer,No,VIC,26.0
Cheston,Hritzko,Male,70,1945-11-08,Manufacturing,Mass Customer,Yes,NSW,74.0
Suzy,Trounson,Female,13,1947-07-19,Financial Services,Mass Customer,Yes,QLD,73.0
Guenna,Filisov,Female,52,1969-02-09,Manufacturing,High Net Worth,No,NSW,51.0
Opal,Cleare,Female,6,1977-09-26,Property,Affluent Customer,Yes,NSW,42.0
Kipper,Circuit,Male,23,1974-12-12,Argiculture,Mass Customer,Yes,NSW,45.0
Marilin,Frome,Female,58,1975-12-22,IT,Mass Customer,Yes,NSW,44.0
Arel,Abramovitz,Male,72,1957-11-12,Health,Mass Customer,No,QLD,62.0
Kit,Easdon,Male,61,1978-10-26,Property,Affluent Customer,No,VIC,41.0
Skipp,Swales,Male,15,1973-11-14,Entertainment,High Net Worth,Yes,VIC,46.0
Frederich,Glantz,Male,37,1997-08-27,Manufacturing,High Net Worth,Yes,NSW,23.0
Rodolph,Denniss,Male,28,1974-08-07,Property,Affluent Customer,Yes,VIC,46.0
Craggie,Dering,Male,47,1952-10-05,Financial Services,Mass Customer,No,NSW,67.0
Giralda,MacPeake,Female,59,1941-04-04,Entertainment,High Net Worth,Yes,NSW,79.0
Rodney,Trethewey,Male,16,1997-03-17,Financial Services,Affluent Customer,No,VIC,23.0
Theresina,Trethewey,Female,30,1987-03-01,Argiculture,Mass Customer,Yes,NSW,33.0
Gleda,Howerd,Female,59,1964-01-22,IT,Mass Customer,No,NSW,56.0
Melany,Ladewig,Female,76,1972-05-17,Financial Services,Mass Customer,Yes,QLD,48.0
Claudell,Rounsefell,Male,67,1993-11-27,Financial Services,Affluent Customer,No,QLD,26.0
Garwin,Nurden,Male,54,1958-04-19,Property,High Net Worth,Yes,VIC,62.0
Bunny,Leebetter,Female,83,1966-04-30,Manufacturing,High Net Worth,Yes,QLD,54.0
Matias,Melloi,Male,61,1977-02-03,Retail,Affluent Customer,No,NSW,43.0
Anet,Roseman,Female,84,1996-11-24,Financial Services,Mass Customer,No,VIC,23.0
Katie,Warhurst,Female,0,1991-12-02,Retail,High Net Worth,Yes,VIC,28.0
Celia,Bryden,Female,12,1943-04-06,Manufacturing,High Net Worth,No,NSW,77.0
Stearne,Trolley,Male,42,1982-02-01,Financial Services,High Net Worth,No,NSW,38.0
Tristam,Larose,Male,70,1985-01-29,Financial Services,Mass Customer,No,NSW,35.0
Heloise,Fairpool,Female,17,1976-09-07,Manufacturing,High Net Worth,No,QLD,44.0
Marcellina,Baynton,Female,60,1947-03-11,Financial Services,Mass Customer,No,VIC,73.0
Gregorius,Leal,Male,7,1951-04-29,Retail,Affluent Customer,Yes,NSW,69.0
Deana,Canton,Female,67,1974-11-25,Property,Mass Customer,Yes,QLD,45.0
Lucky,Klainman,Female,24,1947-11-26,Retail,Mass Customer,No,VIC,72.0
Erasmus,Olenchenko,Male,56,1965-02-03,Property,Mass Customer,Yes,NSW,55.0
Carita,Sand,Female,25,1977-03-20,Retail,Mass Customer,No,NSW,43.0
Lynnett,Tipper,Female,22,1993-08-03,Health,High Net Worth,Yes,VIC,27.0
Thorn,Stigers,Male,42,1972-05-19,Financial Services,Mass Customer,No,QLD,48.0
Norah,Mapis,Female,75,2000-12-09,Argiculture,Mass Customer,No,NSW,19.0
Moina,Rosenbaum,Female,50,2001-08-04,IT,Mass Customer,No,VIC,19.0
Ceciley,Harg,Female,50,1990-10-19,Retail,Mass Customer,Yes,QLD,29.0
Torry,de la Valette Parisot,Male,95,1967-03-14,Telecommunications,Mass Customer,Yes,VIC,53.0
Sigismund,Sedger,Male,9,1999-11-29,Manufacturing,Affluent Customer,No,NSW,20.0
Irvine,Headon,Male,99,1956-04-21,IT,Affluent Customer,Yes,NSW,64.0
Laurie,Headon,Male,31,1979-07-28,Entertainment,Mass Customer,Yes,NSW,41.0
Tomkin,Bernlin,Male,7,2001-12-29,Health,Affluent Customer,Yes,NSW,18.0
Genni,Fanstone,Female,25,1972-07-29,Entertainment,Mass Customer,No,VIC,48.0
Blondie,Fanstone,Female,43,1995-10-03,Financial Services,High Net Worth,No,NSW,24.0
Carola,Philler,Female,73,1951-04-30,Health,High Net Worth,No,NSW,69.0
Fitzgerald,Hellikes,Male,25,1979-07-28,Health,Mass Customer,Yes,VIC,41.0
Ingmar,Okenden,Male,97,1959-03-01,Financial Services,Mass Customer,Yes,VIC,61.0
Tina,Dunstan,Female,13,1939-03-06,Retail,Affluent Customer,No,NSW,81.0
Georgi,Mollatt,Male,29,1970-01-14,Manufacturing,High Net Worth,No,VIC,50.0
Adolpho,Bellerby,Male,46,1944-10-25,Financial Services,High Net Worth,Yes,QLD,75.0
Kelsey,Hatt,Female,69,1966-06-27,Financial Services,High Net Worth,No,VIC,54.0
Lucien,Hatt,Male,83,1966-09-14,Financial Services,High Net Worth,Yes,QLD,54.0
Alexina,Mabley,Female,72,1975-10-12,Manufacturing,Mass Customer,Yes,NSW,44.0
Dawn,Pyffe,Female,56,1965-05-28,Retail,Mass Customer,No,VIC,55.0
Claudette,Renackowna,Female,55,1996-02-11,Manufacturing,Mass Customer,No,NSW,24.0
Park,Poolton,Male,39,1977-11-08,IT,Affluent Customer,No,QLD,42.0
Anthony,Lindstrom,Male,86,1997-11-01,Financial Services,Affluent Customer,Yes,NSW,22.0
Liane,Poizer,Female,59,1952-05-05,Property,High Net Worth,No,NSW,68.0
Renell,Earley,Female,5,1954-10-21,Financial Services,Mass Customer,Yes,QLD,65.0
Cliff,Philipsson,Male,82,1967-02-02,Argiculture,Mass Customer,No,VIC,53.0
Cariotta,Aisthorpe,Female,10,1974-08-19,Entertainment,Affluent Customer,Yes,NSW,46.0
George,Jose,Male,68,1960-12-19,Retail,High Net Worth,Yes,QLD,59.0
Katleen,Arnoult,Female,6,1976-11-24,Manufacturing,Mass Customer,Yes,NSW,43.0
Inglebert,Aspinal,Male,4,1973-10-13,Financial Services,Mass Customer,No,NSW,46.0
Jammal,Devenny,Male,57,1999-05-14,Retail,High Net Worth,No,VIC,21.0
Adriane,Richardson,Female,81,1976-03-10,Manufacturing,High Net Worth,No,VIC,44.0
Jodi,Lermit,Female,94,1954-01-30,Health,Mass Customer,Yes,QLD,66.0
Emelia,Ackwood,Female,72,1988-09-30,Financial Services,Mass Customer,Yes,QLD,31.0
Andee,Huke,Female,91,1971-06-28,Manufacturing,Mass Customer,No,VIC,49.0
Zabrina,Margram,Female,87,1964-05-15,Manufacturing,High Net Worth,Yes,QLD,56.0
Maddalena,Angood,Female,79,1999-07-28,Manufacturing,Affluent Customer,No,NSW,21.0
Sofie,Worsfold,Female,87,1954-10-06,Retail,Mass Customer,Yes,QLD,65.0
Elmira,Vasilyev,Female,33,1951-10-14,Manufacturing,High Net Worth,No,NSW,68.0
Worthington,Cohane,Male,60,1991-01-23,Entertainment,High Net Worth,No,NSW,29.0
Bailey,Bereford,Male,44,1950-09-30,Argiculture,Affluent Customer,Yes,NSW,69.0
Perry,Whitehurst,Male,79,1980-05-29,Manufacturing,High Net Worth,Yes,VIC,40.0
Antony,Tuma,Male,11,1954-03-10,Telecommunications,High Net Worth,Yes,VIC,66.0
Corene,Hallgate,Female,26,1964-11-06,Financial Services,Mass Customer,Yes,VIC,55.0
Nico,Chadwick,Male,97,1953-05-24,Financial Services,Affluent Customer,No,VIC,67.0
Ivy,Farr,Female,56,1973-07-03,IT,High Net Worth,No,NSW,47.0
Amabel,Lavalde,Female,71,1981-09-14,Financial Services,Mass Customer,Yes,NSW,39.0
Hilario,McCulloch,Male,61,1986-01-10,Retail,Mass Customer,No,VIC,34.0
Jim,Haddrell,Male,55,1955-04-08,Financial Services,Mass Customer,No,NSW,65.0
Jacobo,Mucklow,Male,62,1952-12-04,Financial Services,High Net Worth,Yes,VIC,67.0
Gretel,Paschke,Female,10,1956-05-29,Financial Services,Mass Customer,Yes,QLD,64.0
Jethro,Mertel,Male,16,1978-12-10,Argiculture,Mass Customer,Yes,NSW,41.0
Dwain,Hatch,Male,62,1994-11-16,Health,Affluent Customer,No,VIC,25.0
Lucretia,D'Agostini,Female,41,1978-12-14,Manufacturing,High Net Worth,No,VIC,41.0
Claude,Bowstead,Female,37,1997-11-29,Manufacturing,Mass Customer,No,NSW,22.0
Donn,MacGregor,Male,80,1965-04-22,Manufacturing,High Net Worth,No,NSW,55.0
Laurel,Devennie,Female,78,1976-09-25,Manufacturing,Affluent Customer,No,QLD,43.0
Elvira,Darthe,Female,10,1975-04-08,Financial Services,Affluent Customer,No,NSW,45.0
Angie,Tansley,Male,68,1950-11-30,Manufacturing,Mass Customer,No,NSW,69.0
Terrence,Dalligan,Male,60,1998-02-19,Manufacturing,High Net Worth,Yes,VIC,22.0
Katy,Crooke,Female,0,1977-06-30,Health,Mass Customer,No,NSW,43.0
Sammy,Borsi,Female,99,1972-04-27,Financial Services,Mass Customer,No,NSW,48.0
Morganica,Ainsbury,Female,37,1973-01-06,Entertainment,High Net Worth,Yes,NSW,47.0
Nils,Champion,Male,69,1984-07-06,Retail,Affluent Customer,No,NSW,36.0
Beverlee,Querree,Female,42,1991-04-21,Financial Services,High Net Worth,Yes,NSW,29.0
Cami,Eitter,Female,34,1979-01-03,Manufacturing,High Net Worth,Yes,VIC,41.0
Reiko,Degenhardt,Female,83,1976-01-16,Financial Services,High Net Worth,Yes,QLD,44.0
Cord,Dunsmore,Male,12,1999-04-21,Manufacturing,Mass Customer,Yes,QLD,21.0
Gabey,Kennicott,Female,55,1958-05-14,Financial Services,Affluent Customer,No,NSW,62.0
Jacqui,Devey,Female,79,1995-10-01,Financial Services,High Net Worth,Yes,NSW,24.0
Byrom,Ramas,Male,23,1993-11-02,Manufacturing,High Net Worth,No,NSW,26.0
Worthington,Ahmed,Male,79,1972-03-24,Financial Services,High Net Worth,No,VIC,48.0
Chico,Dye,Male,46,1994-02-04,Manufacturing,High Net Worth,No,NSW,26.0
Davidde,Cockroft,Male,70,1947-04-21,Manufacturing,High Net Worth,No,NSW,73.0
Charlie,Dmych,Male,60,1950-03-31,Manufacturing,High Net Worth,No,NSW,70.0
Kamila,Parsonage,Female,80,1954-03-08,Property,Mass Customer,No,QLD,66.0
Barth,Sapshed,Male,4,1994-06-16,Financial Services,Mass Customer,Yes,QLD,26.0
Padriac,Collacombe,Male,67,1967-04-07,Health,Affluent Customer,No,NSW,53.0
Olive,Mozzi,Female,87,1955-07-06,Retail,Affluent Customer,Yes,NSW,65.0
Benedict,Rosas,Male,73,1955-11-25,Financial Services,High Net Worth,Yes,NSW,64.0
Virginia,De Antoni,Female,17,1964-03-14,Telecommunications,High Net Worth,Yes,NSW,56.0
Oswald,MacCarlich,Male,81,1991-11-24,Entertainment,Mass Customer,No,QLD,28.0
Ailyn,Howgate,Female,66,2001-09-27,Manufacturing,Mass Customer,Yes,QLD,18.0
Karol,Salthouse,Female,53,1968-07-29,Financial Services,Mass Customer,Yes,NSW,52.0
Esdras,Birchett,Male,81,1950-12-09,Entertainment,Mass Customer,Yes,NSW,69.0
Wilfrid,Gertray,Male,1,1942-08-23,Financial Services,Mass Customer,No,NSW,78.0
Charmain,Styles,Female,49,1965-02-25,Property,High Net Worth,Yes,VIC,55.0
Bobby,Summersby,Male,90,1943-10-27,Financial Services,Affluent Customer,No,VIC,76.0
Shepherd,Dutchburn,Male,33,1976-08-12,Financial Services,High Net Worth,Yes,NSW,44.0
Berenice,Kaesmakers,Female,64,1994-10-15,Retail,Mass Customer,No,NSW,25.0
Cordi,Thornton,Female,47,1973-01-04,Telecommunications,Mass Customer,No,NSW,47.0
Debbie,Tillman,Female,3,1990-07-06,Manufacturing,High Net Worth,Yes,QLD,30.0
Flin,Yoskowitz,Male,9,1995-12-17,Health,Mass Customer,Yes,NSW,24.0
Noel,Sturch,Female,26,1951-10-28,Health,Mass Customer,No,VIC,68.0
Letizia,Poore,Female,27,1938-08-30,Manufacturing,Affluent Customer,No,VIC,82.0
Raynard,Poore,Male,32,1996-04-13,Health,Affluent Customer,No,QLD,24.0
Kiley,Grunder,Male,95,1994-04-17,Financial Services,Affluent Customer,Yes,QLD,26.0
Ethelred,Sissel,Male,83,1974-12-25,Health,High Net Worth,No,NSW,45.0
Dena,Pabst,Female,39,1987-04-20,Manufacturing,High Net Worth,Yes,VIC,33.0
Wyndham,Woolford,Male,1,1979-10-22,Manufacturing,Mass Customer,No,VIC,40.0
Rochette,Haddacks,Female,44,1996-05-10,Retail,Affluent Customer,Yes,VIC,24.0
Jamal,Dudgeon,Male,83,1965-02-09,Financial Services,Mass Customer,No,VIC,55.0
Levin,Coxen,Male,13,1955-10-22,Property,Mass Customer,No,NSW,64.0
Marinna,Kauschke,Female,21,1973-03-15,Financial Services,Affluent Customer,Yes,VIC,47.0
Gilbert,O'Fallone,Male,29,1994-11-07,Entertainment,High Net Worth,No,NSW,25.0
Chaim,Kingdon,Male,63,1996-01-21,Financial Services,Affluent Customer,Yes,NSW,24.0
Anson,Dearnaly,Male,68,1997-06-29,Health,Affluent Customer,Yes,NSW,23.0
Caitrin,Critten,Female,45,1973-01-29,Manufacturing,Mass Customer,Yes,QLD,47.0
Rozamond,Sommer,Female,27,1966-09-19,IT,Affluent Customer,Yes,VIC,54.0
Maximilian,Geffen,Male,96,1955-07-13,Manufacturing,Mass Customer,Yes,NSW,65.0
Ajay,Worham,Female,80,1979-09-30,Manufacturing,Mass Customer,Yes,NSW,40.0
Jamison,Cashin,Male,70,1970-05-19,Health,Mass Customer,Yes,NSW,50.0
Dorian,Emery,Female,94,1998-08-24,Manufacturing,Mass Customer,Yes,NSW,22.0
Nicol,Swinford,Male,65,1976-12-07,Property,High Net Worth,No,QLD,43.0
Agna,Cowpe,Female,88,1969-03-05,Property,Mass Customer,Yes,QLD,51.0
Nev,Prosh,Male,29,1950-05-08,Health,Affluent Customer,Yes,NSW,70.0
Lucius,Hatchell,Male,37,1951-03-19,Retail,Mass Customer,Yes,VIC,69.0
Francisca,Pottage,Female,63,1957-06-10,IT,Mass Customer,No,NSW,63.0
Farlie,Brookz,Male,62,1963-07-31,Health,Mass Customer,Yes,NSW,57.0
Mariette,Brookz,Female,47,1956-07-05,Property,Affluent Customer,Yes,NSW,64.0
Beverlee,Ungerechts,Female,49,1973-10-03,Manufacturing,Mass Customer,No,QLD,46.0
Nanni,Girodias,Female,61,1959-01-08,Retail,High Net Worth,No,NSW,61.0
Delcina,Hursey,Female,22,1968-12-26,Financial Services,Mass Customer,Yes,QLD,51.0
Lek,Pimblett,Male,88,1955-09-29,Financial Services,Mass Customer,Yes,NSW,64.0
Ewell,Paulusch,Male,31,1998-01-15,Manufacturing,Mass Customer,Yes,QLD,22.0
Madison,Lars,Male,11,1967-01-19,Health,Mass Customer,No,QLD,53.0
Ardis,Taree,Female,97,1960-04-12,Manufacturing,Affluent Customer,Yes,QLD,60.0
Wheeler,Godsil,Male,51,1993-09-20,Manufacturing,Affluent Customer,Yes,NSW,27.0
Terrel,Keynd,Male,30,1961-04-20,Manufacturing,Mass Customer,No,QLD,59.0
Augie,Swallwell,Male,42,1939-08-22,Property,Affluent Customer,Yes,NSW,81.0
Lissa,Gawn,Female,86,1962-09-21,Health,Mass Customer,Yes,QLD,58.0
Leisha,McConway,Female,3,1975-10-31,Financial Services,Mass Customer,Yes,VIC,44.0
Kearney,Cuddehy,Male,88,1997-05-18,Retail,Mass Customer,No,QLD,23.0
Shellysheldon,Bichard,Male,96,1954-01-06,Financial Services,Mass Customer,Yes,QLD,66.0
Reinhard,Oscroft,Male,23,1950-03-18,Health,High Net Worth,No,VIC,70.0
Menard,Venmore,Male,97,1978-04-04,Retail,High Net Worth,No,NSW,42.0
Andree,Breeds,Female,31,1954-10-19,Financial Services,Affluent Customer,Yes,VIC,65.0
Kata,Harrop,Female,70,1950-05-04,Retail,Affluent Customer,Yes,NSW,70.0
Pierrette,Gummie,Female,18,1966-08-04,Retail,Affluent Customer,No,VIC,54.0
Demott,Mullaly,Male,42,1982-12-15,Property,Mass Customer,No,NSW,37.0
Wendye,Kleinplatz,Female,48,1996-05-28,Manufacturing,Affluent Customer,No,QLD,24.0
Irvin,Bevans,Male,82,1962-07-12,Manufacturing,Mass Customer,No,NSW,58.0
Austine,Speedy,Female,38,1940-05-23,Argiculture,High Net Worth,Yes,NSW,80.0
Wolf,Craft,Male,93,1995-07-19,Retail,Affluent Customer,Yes,NSW,25.0
Aldin,Newsome,Male,24,1981-07-06,Financial Services,Mass Customer,No,NSW,39.0
Sindee,Jasik,Female,18,1942-10-21,Health,Mass Customer,Yes,QLD,77.0
Truman,Arlett,Male,58,1958-06-25,Manufacturing,High Net Worth,Yes,NSW,62.0
Leticia,Hovenden,Female,98,1997-04-03,Retail,Mass Customer,Yes,VIC,23.0
Caritta,Compston,Female,86,1958-04-25,Manufacturing,Mass Customer,Yes,VIC,62.0
Annabelle,Hanwell,Female,11,1951-11-28,Manufacturing,High Net Worth,Yes,VIC,68.0
Darryl,Hovee,Female,2,1944-04-28,Financial Services,Mass Customer,Yes,NSW,76.0
Orly,Nesbitt,Female,6,1985-03-25,Manufacturing,High Net Worth,Yes,VIC,35.0
Margette,Gibard,Female,34,1942-07-06,Manufacturing,Affluent Customer,Yes,NSW,78.0
Nicol,Bertot,Female,25,1977-09-11,Financial Services,Affluent Customer,Yes,VIC,43.0
Nobe,Trowsdale,Male,12,1968-07-12,Financial Services,Mass Customer,No,VIC,52.0
Stephen,Tittershill,Male,73,1991-12-21,Financial Services,High Net Worth,No,VIC,28.0
Giselbert,Pickring,Male,94,1959-07-28,Manufacturing,Affluent Customer,Yes,NSW,61.0
Shane,Diss,Female,50,1980-10-29,Financial Services,High Net Worth,Yes,VIC,39.0
Lisette,Davers,Female,59,1940-10-26,Health,High Net Worth,No,NSW,79.0
Kippar,Whyatt,Male,13,1960-01-21,Property,Mass Customer,No,NSW,60.0
Xenia,Maleck,Female,41,1960-02-14,Telecommunications,Mass Customer,No,VIC,60.0
Essie,Withur,Female,42,1941-02-26,Financial Services,High Net Worth,No,VIC,79.0
Lillis,Eshmade,Female,50,1974-10-12,Financial Services,Mass Customer,Yes,QLD,45.0
Ted,Izacenko,Male,3,1959-08-01,Entertainment,High Net Worth,No,VIC,61.0
Nixie,Shoesmith,Female,45,1956-12-04,Retail,Affluent Customer,No,QLD,63.0
Briana,Trill,Female,5,1944-03-18,Health,High Net Worth,No,NSW,76.0
Wrennie,Dwelly,Female,23,1940-03-11,Manufacturing,Mass Customer,No,VIC,80.0
Sibylla,Kibble,Female,73,1962-08-05,Health,High Net Worth,No,NSW,58.0
Kariotta,Naper,Female,8,1952-04-07,Health,Mass Customer,No,NSW,68.0
Wylie,Huntingdon,Male,99,1966-08-11,Financial Services,Mass Customer,No,NSW,54.0
Lizbeth,Garvan,Female,36,1996-09-06,Health,Mass Customer,No,NSW,24.0
Averil,Ackery,Male,93,1970-09-09,Retail,Mass Customer,Yes,NSW,50.0
Myrtie,Ostrich,Female,70,1996-06-18,Property,Affluent Customer,Yes,NSW,24.0
Ross,Vidgen,Male,17,1947-12-28,Retail,Affluent Customer,No,QLD,72.0
Sibby,Skinner,Female,25,1981-05-05,Manufacturing,Mass Customer,Yes,QLD,39.0
Selle,Casper,Female,98,1978-03-27,Health,Mass Customer,Yes,NSW,42.0
Andrew,Froment,Male,58,1977-07-19,Retail,High Net Worth,No,VIC,43.0
Maurizia,Ritmeyer,Female,95,1980-04-09,Entertainment,Mass Customer,Yes,NSW,40.0
Keenan,Moriarty,Male,67,1994-12-23,Financial Services,Mass Customer,Yes,QLD,25.0
Davide,Senten,Male,22,1941-02-23,Manufacturing,Mass Customer,No,NSW,79.0
Renie,Fiveash,Female,92,1992-10-10,Health,High Net Worth,No,QLD,27.0
Willard,Booton,Male,69,1938-09-02,Health,High Net Worth,Yes,NSW,82.0
Debby,Balmadier,Female,53,1992-06-24,Financial Services,Affluent Customer,Yes,VIC,28.0
Harvey,Dwelley,Male,70,1973-08-30,Financial Services,Affluent Customer,No,NSW,47.0
Patrice,Pariss,Male,96,1954-06-15,Financial Services,Mass Customer,No,QLD,66.0
Arman,Yakubov,Male,68,1977-10-07,Property,High Net Worth,Yes,NSW,42.0
Gardiner,Gypps,Male,91,1991-06-01,Retail,Mass Customer,Yes,NSW,29.0
Thaddus,Joder,Male,31,1957-12-10,Manufacturing,Mass Customer,No,NSW,62.0
Jillane,Simion,Female,8,1974-07-03,Manufacturing,High Net Worth,No,QLD,46.0
Lynnell,Shoesmith,Female,44,1981-01-29,Health,High Net Worth,Yes,NSW,39.0
Mandie,MacAdie,Female,39,1974-12-25,Telecommunications,High Net Worth,No,NSW,45.0
Ferdinand,Billie,Male,97,1965-09-04,Manufacturing,Mass Customer,No,NSW,55.0
Suzy,Bussens,Female,44,1973-04-29,Financial Services,Mass Customer,No,QLD,47.0
Emeline,Vezey,Female,37,1953-08-07,Health,Affluent Customer,Yes,VIC,67.0
Cissiee,Baylis,Female,99,1951-07-22,Financial Services,High Net Worth,No,NSW,69.0
Roldan,Raybould,Male,27,1975-11-18,Financial Services,Mass Customer,No,VIC,44.0
Barth,Weare,Male,18,1946-08-22,Health,Mass Customer,Yes,NSW,74.0
Alta,Pithcock,Female,64,1999-11-18,Financial Services,Mass Customer,No,NSW,20.0
Marc,Keunemann,Male,57,1972-09-04,Health,Affluent Customer,Yes,NSW,48.0
Bertine,Smalles,Female,85,1983-12-10,Financial Services,Mass Customer,Yes,VIC,36.0
Wilbert,O'Loughnan,Male,14,1983-05-18,Financial Services,Mass Customer,Yes,QLD,37.0
Miran,Runchman,Female,47,1975-07-09,Retail,Mass Customer,No,QLD,45.0
Dorotea,Fenwick,Female,74,1950-10-12,Financial Services,High Net Worth,No,NSW,69.0
Jenny,Massy,Female,82,1963-10-16,Telecommunications,Mass Customer,Yes,NSW,56.0
Beatrix,McGivena,Female,26,1966-10-18,Health,Mass Customer,Yes,QLD,53.0
Nalani,Hallad,Female,15,1999-11-30,Health,Affluent Customer,Yes,VIC,20.0
Inglebert,Butland,Male,71,1966-01-30,Financial Services,Mass Customer,Yes,NSW,54.0
Brendis,Pineaux,Male,12,1978-01-15,Manufacturing,Mass Customer,No,NSW,42.0
Glendon,Malham,Male,36,1965-08-21,Manufacturing,Mass Customer,No,VIC,55.0
Morganica,Bentke,Female,40,1977-01-03,IT,Affluent Customer,Yes,VIC,43.0
Son,Varney,Male,75,1993-11-02,Property,Mass Customer,Yes,NSW,26.0
Bartram,Caltun,Male,28,1956-09-15,Health,Affluent Customer,Yes,NSW,64.0
Halette,Borsi,Female,60,1961-12-10,Health,Affluent Customer,Yes,NSW,58.0
Killie,Densie,Male,87,1997-03-28,IT,Mass Customer,Yes,NSW,23.0
Mandi,Adamsson,Female,40,1992-04-07,Manufacturing,Mass Customer,Yes,QLD,28.0
Yardley,Matten,Male,35,1991-03-06,Financial Services,Mass Customer,No,QLD,29.0
Shepperd,Leonards,Male,17,1981-04-14,Manufacturing,Mass Customer,Yes,NSW,39.0
Fancie,Woofendell,Female,68,1966-09-17,Health,Mass Customer,Yes,QLD,54.0
Micheil,Fleote,Male,48,1975-09-20,Manufacturing,High Net Worth,No,NSW,45.0
Cecily,Faircley,Female,42,1947-06-12,IT,Affluent Customer,Yes,QLD,73.0
Glory,Chilcott,Female,49,1939-09-09,Telecommunications,High Net Worth,No,QLD,81.0
Sinclair,Wark,Male,68,1974-02-21,Financial Services,Mass Customer,Yes,NSW,46.0
Tomaso,Horsley,Male,97,2001-04-16,Financial Services,Mass Customer,Yes,VIC,19.0
Gilli,Christophers,Female,70,1948-03-02,Property,Affluent Customer,Yes,QLD,72.0
Errick,Burgin,Male,87,1998-08-19,Entertainment,Mass Customer,No,NSW,22.0
Damian,Renard,Male,43,1976-07-19,Retail,Affluent Customer,No,NSW,44.0
Agnola,Batterson,Female,86,1980-01-03,Financial Services,Mass Customer,No,QLD,40.0
Riki,Wandtke,Female,25,1962-05-12,Entertainment,Mass Customer,Yes,QLD,58.0
Mikol,Eck,Male,99,1975-07-25,Financial Services,Mass Customer,Yes,QLD,45.0
Phyllis,Wibberley,Female,7,1971-01-10,Retail,Affluent Customer,No,NSW,49.0
